import_importtariff_&_tax_item,import_rate,import_applicable_country,import_note,hs10digit,conventional_fta_conventional_duty,conventional_rate,conventional_fta_code,conventional_applicable_country,export_exporttariff_&_tax_item,export_rate,export_applicable_rate,export_applicable_country,export_importtariff_&_tax_item,export_note
,,,,0101210010,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0101210010,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101210010,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101210010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101210010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101210010,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0101210010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101210010,,,,,Export Duty,0.0%,,China,,
,,,,0101210010,,,,,Interim Export Duty,,or.,China,,
,,,,0101210010,,,,,Export VAT,9.0%,,China,,
,,,,0101210010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0101210010,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101210090,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0101210090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101210090,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0101210090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101210090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101210090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101210090,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0101210090,,,,,,,,,,
,,,,0101210090,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101210090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101210090,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0101210090,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Chile,,CL,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0101210090,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101210090,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101210090,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101210090,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101210090,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0101210090,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101210090,,,,,Export Duty,0.0%,,China,,
,,,,0101210090,,,,,Interim Export Duty,,or.,China,,
,,,,0101210090,,,,,Export VAT,9.0%,,China,,
,,,,0101210090,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0101210090,,,,,,,,,,
General Duty,30.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101290010,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0101290010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101290010,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0101290010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101290010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101290010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101290010,,,,,,,,,,
China additional retaliatory tariff on USA,5.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由10%调整为5%）,0101290010,,,,,,,,,,
,,,,0101290010,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101290010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101290010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0101290010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0101290010,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101290010,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101290010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101290010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101290010,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0101290010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101290010,,,,,Export Duty,0.0%,,China,,
,,,,0101290010,,,,,Interim Export Duty,,or.,China,,
,,,,0101290010,,,,,Export VAT,9.0%,,China,,
,,,,0101290010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0101290010,,,,,,,,,,
General Duty,30.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101290090,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0101290090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101290090,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0101290090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101290090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101290090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101290090,,,,,,,,,,
China additional retaliatory tariff on USA,5.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由10%调整为5%）,0101290090,,,,,,,,,,
,,,,0101290090,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101290090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101290090,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0101290090,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0101290090,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101290090,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101290090,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101290090,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101290090,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0101290090,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101290090,,,,,Export Duty,0.0%,,China,,
,,,,0101290090,,,,,Interim Export Duty,,or.,China,,
,,,,0101290090,,,,,Export VAT,9.0%,,China,,
,,,,0101290090,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0101290090,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101301010,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0101301010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101301010,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0101301010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101301010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101301010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101301010,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0101301010,,,,,,,,,,
,,,,0101301010,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101301010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101301010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0101301010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Chile,,CL,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0101301010,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101301010,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101301010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101301010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101301010,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0101301010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101301010,,,,,Export Duty,0.0%,,China,,
,,,,0101301010,,,,,Interim Export Duty,,or.,China,,
,,,,0101301010,,,,,Export VAT,9.0%,,China,,
,,,,0101301010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0101301010,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101301090,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0101301090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101301090,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0101301090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101301090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101301090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101301090,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0101301090,,,,,,,,,,
,,,,0101301090,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101301090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101301090,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0101301090,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Iceland,,IS,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Costa Rica,,CR,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Peru,,PE,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Chile,,CL,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Pakistan,,PK,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Georgia,,GE,Free Trade Area Nation with China,,,,,,
,,,,0101301090,Hong Kong,,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101301090,Macao,,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101301090,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101301090,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101301090,MFN Duty,0.0%,,Most-favored Nation,,,,,,
,,,,0101301090,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101301090,,,,,Export Duty,0.0%,,China,,
,,,,0101301090,,,,,Interim Export Duty,,or.,China,,
,,,,0101301090,,,,,Export VAT,9.0%,,China,,
,,,,0101301090,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0101301090,,,,,,,,,,
General Duty,30.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101309010,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0101309010,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101309010,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0101309010,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101309010,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101309010,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101309010,,,,,,,,,,
China additional retaliatory tariff on USA,2.5%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",2.5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由5%调整为2.5%）,0101309010,,,,,,,,,,
,,,,0101309010,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101309010,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101309010,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0101309010,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0101309010,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101309010,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101309010,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101309010,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101309010,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0101309010,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101309010,,,,,Export Duty,0.0%,,China,,
,,,,0101309010,,,,,Interim Export Duty,,or.,China,,
,,,,0101309010,,,,,Export VAT,9.0%,,China,,
,,,,0101309010,,,,,Export VAT Rebate,0.0%,,China,,
,,,,0101309010,,,,,,,,,,
General Duty,30.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101309090,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0101309090,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101309090,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0101309090,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101309090,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101309090,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101309090,,,,,,,,,,
China additional retaliatory tariff on USA,2.5%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",2.5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由5%调整为2.5%）,0101309090,,,,,,,,,,
,,,,0101309090,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101309090,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101309090,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0101309090,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0101309090,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101309090,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101309090,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101309090,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101309090,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0101309090,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101309090,,,,,Export Duty,0.0%,,China,,
,,,,0101309090,,,,,Interim Export Duty,,or.,China,,
,,,,0101309090,,,,,Export VAT,9.0%,,China,,
,,,,0101309090,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0101309090,,,,,,,,,,
General Duty,30.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0101900000,,,,,,,,,,
MFN Duty,10.0%,Most-favored Nation,,0101900000,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0101900000,,,,,,,,,,
FTA Conventional Duty,00%~10.0%,FTA Conventional Duty Search,,0101900000,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0101900000,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0101900000,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0101900000,,,,,,,,,,
China additional retaliatory tariff on USA,2.5%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",2.5%（自2020年2月14日13时01分起调整对原产于美国的部分进口商品加征关税由5%调整为2.5%）,0101900000,,,,,,,,,,
,,,,0101900000,Association of Southeast Asian Nations,0.0%,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0101900000,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0101900000,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Korea,4.0%,KR,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Australia,0.0%,AU,Free Trade Area Nation with China,,,,,,
,,,,0101900000,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Switzerland,0.0%,CH,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Iceland,0.0%,IS,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Costa Rica,0.0%,CR,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Peru,0.0%,PE,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Chile,0.0%,CL,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Pakistan,4.5%,PK,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Georgia,0.0%,GE,Free Trade Area Nation with China,,,,,,
,,,,0101900000,Hong Kong,0.0%,HK,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101900000,Macao,0.0%,MO,CEPA-Closer Economic Partnership Arrangement,,,,,,
,,,,0101900000,Taiwan,,TW,"ECFA,-Economic Cooperation Framework Agreement",,,,,,
,,,,0101900000,LDCs Preferential Tariff,0.0%,LD,Least Developed Countries,,,,,,
,,,,0101900000,MFN Duty,10.0%,,Most-favored Nation,,,,,,
,,,,0101900000,"Note: If there is no duty rate indicated, mean this goods is not in the list of free trade agreements for that country,it is applicable to the most favored nation tariff rate.",,,,,,,,,
,,,,0101900000,,,,,Export Duty,0.0%,,China,,
,,,,0101900000,,,,,Interim Export Duty,,or.,China,,
,,,,0101900000,,,,,Export VAT,9.0%,,China,,
,,,,0101900000,,,,,Export VAT Rebate,6.0%,,China,,
,,,,0101900000,,,,,,,,,,
General Duty,0.0%,Non-MFN,"If export country is classified to multi-duty class, then the lowest import duty rate is Applicable.",0102210000,,,,,,,,,,
MFN Duty,0.0%,Most-favored Nation,,0102210000,,,,,,,,,,
MFN Interim Import Duty,,Annul Interim Duty for MFN,,0102210000,,,,,,,,,,
FTA Conventional Duty,00%~0.0%,FTA Conventional Duty Search,,0102210000,,,,,,,,,,
LDCs Preferential Duty,0.0%,Low Developed Country,,0102210000,,,,,,,,,,
Import Consumption Tax,0.0%,All Countries,,0102210000,,,,,,,,,,
Import VAT (Value-Added Tax),9.0%,All Countries,,0102210000,,,,,,,,,,
China additional retaliatory tariff on USA,0.0%,"China retaliatory tariff against the United States enforced on Sep.  2018, because of the trade conflict with the Trump administration.",-,0102210000,,,,,,,,,,
,,,,0102210000,Association of Southeast Asian Nations,,AS,"ASEAN: Indonesia, Malaysia, Philippines, Singapore, Thailand, Cambodia, Laos, Myanmar, Vietnam, Brunei",,,,,,
,,,,0102210000,Asia Pacific Trade Agreement Nations,,AP,"India, Korea, Sri Lanka, Bangladesh, Laos",,,,,,
,,,,0102210000,India,,IN,Free Trade Area Nation with China,,,,,,
,,,,0102210000,Korea,,KR,Free Trade Area Nation with China,,,,,,
,,,,0102210000,Australia,,AU,Free Trade Area Nation with China,,,,,,
,,,,0102210000,New Zealand,,NZ,Free Trade Area Nation with China,,,,,,
,,,,0102210000,Switzerland,,CH,Free Trade Area Nation with China,,,,,,
,,,,0102210000,Iceland,,IS,Free Trade Area Nation with China,,,,,,
